Age,Education Level,Job Title,Years of Experience,Salary,Gender
32.0,1,78,5.0,90000.0,1
28.0,2,51,3.0,65000.0,0
45.0,3,2,15.0,150000.0,1
36.0,1,17,7.0,60000.0,0
52.0,2,1,20.0,200000.0,1
29.0,1,14,2.0,55000.0,1
42.0,2,53,12.0,120000.0,0
31.0,1,20,4.0,80000.0,1
26.0,1,26,1.0,45000.0,0
38.0,3,3,10.0,110000.0,1
29.0,2,22,3.0,75000.0,1
48.0,1,2,18.0,140000.0,0
35.0,1,12,6.0,65000.0,1
40.0,2,8,14.0,130000.0,0
27.0,1,1,2.0,40000.0,1
44.0,1,22,16.0,125000.0,1
33.0,2,55,7.0,90000.0,0
39.0,3,2,12.0,115000.0,1
25.0,1,1,0.0,35000.0,0
51.0,1,15,22.0,180000.0,1
34.0,2,2,5.0,80000.0,0
47.0,2,1,19.0,190000.0,1
30.0,1,1,2.0,50000.0,1
36.0,1,2,9.0,60000.0,0
41.0,2,28,13.0,140000.0,1
28.0,1,1,3.0,45000.0,0
37.0,2,1,11.0,110000.0,0
24.0,1,1,1.0,40000.0,1
43.0,3,1,15.0,140000.0,0
33.0,2,9,6.0,90000.0,1
50.0,1,1,25.0,250000.0,1
31.0,1,1,4.0,55000.0,0
29.0,2,80,3.0,75000.0,1
39.0,1,1,10.0,65000.0,0
46.0,3,2,20.0,170000.0,1
27.0,1,1,2.0,45000.0,1
35.0,1,2,7.0,60000.0,0
42.0,2,1,14.0,115000.0,1
26.0,1,1,1.0,40000.0,0
49.0,1,16,21.0,160000.0,1
34.0,2,1,5.0,80000.0,0
48.0,2,1,18.0,190000.0,1
30.0,1,1,3.0,60000.0,1
36.0,1,2,8.0,45000.0,0
41.0,2,1,13.0,130000.0,1
28.0,1,1,2.0,40000.0,0
32.0,1,1,5.0,75000.0,1
45.0,2,27,16.0,180000.0,0
38.0,3,3,11.0,120000.0,1
25.0,1,1,0.0,35000.0,1
51.0,1,2,22.0,130000.0,0
33.0,2,1,7.0,85000.0,1
40.0,1,2,12.0,60000.0,0
47.0,2,1,19.0,200000.0,1
29.0,1,7,3.0,50000.0,0
36.0,1,20,9.0,95000.0,1
27.0,2,1,2.0,65000.0,0
43.0,3,2,17.0,140000.0,1
30.0,1,3,4.0,55000.0,0
35.0,2,53,7.0,105000.0,1
51.0,2,9,23.0,170000.0,0
29.0,1,14,3.0,50000.0,1
40.0,1,2,12.0,80000.0,0
47.0,3,14,21.0,180000.0,1
26.0,1,3,1.0,35000.0,1
38.0,2,15,10.0,90000.0,0
46.0,1,1,19.0,120000.0,1
31.0,1,3,5.0,45000.0,0
34.0,2,1,8.0,90000.0,1
49.0,2,6,18.0,150000.0,0
33.0,1,34,6.0,65000.0,1
39.0,1,2,11.0,70000.0,0
45.0,3,10,16.0,190000.0,1
28.0,1,1,2.0,40000.0,1
42.0,2,1,14.0,120000.0,0
37.0,1,8,10.0,95000.0,1
50.0,1,22,22.0,160000.0,0
32.0,2,96,6.0,100000.0,1
48.0,2,1,20.0,180000.0,0
30.0,1,24,3.0,55000.0,0
36.0,1,1,8.0,70000.0,1
41.0,2,51,13.0,80000.0,0
25.0,1,20,0.0,30000.0,1
52.0,3,1,24.0,250000.0,1
29.0,1,1,2.0,40000.0,0
34.0,2,1,10.0,95000.0,0
27.0,1,2,2.0,45000.0,1
40.0,1,2,15.0,80000.0,0
46.0,2,7,21.0,135000.0,1
31.0,1,26,6.0,55000.0,0
36.0,3,1,11.0,120000.0,1
29.0,1,17,3.0,40000.0,0
43.0,1,1,18.0,105000.0,1
52.0,2,8,25.0,170000.0,0
33.0,1,2,7.0,75000.0,1
39.0,1,1,12.0,65000.0,0
47.0,3,14,22.0,160000.0,1
26.0,1,8,1.0,35000.0,1
38.0,2,1,10.0,90000.0,0
45.0,1,1,20.0,110000.0,1
31.0,1,2,5.0,45000.0,0
35.0,2,1,8.0,95000.0,1
49.0,2,3,19.0,150000.0,0
33.0,1,15,5.0,50000.0,1
39.0,2,3,13.0,80000.0,0
44.0,3,1,16.0,220000.0,1
30.0,1,1,3.0,50000.0,0
36.0,1,1,7.0,60000.0,1
41.0,2,4,14.0,100000.0,0
28.0,1,1,2.0,40000.0,1
42.0,2,1,15.0,110000.0,0
37.0,1,1,9.0,95000.0,1
50.0,1,1,22.0,130000.0,0
32.0,2,6,6.0,90000.0,1
23.0,1,3,0.5,35000.0,0
31.0,2,6,6.0,95000.0,1
40.0,1,1,15.0,65000.0,0
48.0,3,1,20.0,170000.0,1
29.0,1,21,3.0,45000.0,0
35.0,2,5,10.0,120000.0,1
42.0,1,20,17.0,100000.0,0
53.0,2,27,25.0,180000.0,1
33.0,1,4,5.0,50000.0,0
38.0,1,2,11.0,80000.0,1
44.0,3,3,16.0,140000.0,0
26.0,1,3,2.0,40000.0,1
37.0,2,16,9.0,95000.0,0
45.0,1,1,18.0,110000.0,1
32.0,1,26,4.0,50000.0,0
34.0,2,3,8.0,105000.0,1
50.0,2,9,21.0,160000.0,0
29.0,1,1,3.0,45000.0,1
40.0,2,1,12.0,100000.0,0
47.0,3,5,22.0,160000.0,1
27.0,1,16,1.0,35000.0,1
39.0,1,2,10.0,55000.0,0
46.0,2,7,19.0,140000.0,1
30.0,1,7,4.0,50000.0,0
36.0,1,3,7.0,60000.0,1
43.0,2,17,14.0,120000.0,0
28.0,1,4,2.0,40000.0,1
41.0,2,8,13.0,110000.0,0
33.0,1,8,5.0,50000.0,1
47.0,1,2,20.0,135000.0,1
25.0,2,4,1.5,40000.0,0
34.0,1,6,8.0,90000.0,1
42.0,3,14,16.0,150000.0,0
31.0,1,3,4.0,60000.0,1
38.0,1,2,10.0,80000.0,0
45.0,2,1,19.0,175000.0,1
29.0,1,1,3.0,45000.0,0
36.0,2,4,11.0,120000.0,1
43.0,3,3,18.0,140000.0,0
26.0,1,1,2.0,35000.0,1
37.0,2,4,9.0,95000.0,0
44.0,1,1,14.0,110000.0,1
32.0,1,6,5.0,50000.0,0
33.0,2,5,7.0,115000.0,1
51.0,3,2,23.0,185000.0,0
28.0,1,8,2.0,40000.0,1
39.0,1,2,12.0,90000.0,0
48.0,2,1,21.0,175000.0,1
30.0,1,1,3.0,45000.0,0
35.0,1,3,7.0,80000.0,1
41.0,2,15,13.0,120000.0,0
27.0,1,4,1.5,35000.0,1
40.0,1,1,14.0,110000.0,0
46.0,3,1,18.0,150000.0,1
31.0,1,15,4.0,50000.0,0
34.0,2,96,9.0,105000.0,1
50.0,2,2,20.0,180000.0,0
29.0,1,5,2.0,40000.0,1
43.0,1,7,16.0,140000.0,1
26.0,2,1,1.5,45000.0,0
35.0,1,2,7.0,85000.0,1
42.0,3,8,18.0,140000.0,0
31.0,1,3,4.0,50000.0,1
38.0,1,1,10.0,80000.0,0
46.0,2,9,20.0,170000.0,1
29.0,1,16,2.0,40000.0,0
37.0,2,6,9.0,105000.0,1
44.0,3,2,15.0,145000.0,0
27.0,1,3,2.0,40000.0,1
36.0,1,3,8.0,85000.0,0
43.0,1,1,14.0,130000.0,1
33.0,2,6,6.0,95000.0,0
34.0,1,1,9.0,100000.0,1
50.0,3,1,22.0,180000.0,0
28.0,1,4,1.5,35000.0,1
39.0,1,1,12.0,95000.0,0
47.0,2,1,19.0,170000.0,1
30.0,1,1,3.0,45000.0,0
34.0,1,5,7.0,95000.0,1
40.0,2,1,13.0,120000.0,0
41.0,1,3,11.0,90000.0,0
45.0,3,3,17.0,155000.0,1
32.0,1,2,5.0,55000.0,0
35.0,2,3,9.0,110000.0,1
49.0,2,1,21.0,180000.0,0
30.0,1,1,3.0,45000.0,1
44.0,1,2,16.0,130000.0,1
27.0,2,1,1.5,45000.0,0
36.0,1,2,7.0,90000.0,1
41.0,3,1,17.0,160000.0,0
31.0,1,21,4.0,50000.0,1
39.0,1,5,10.0,120000.0,0
47.0,2,2,20.0,170000.0,1
30.0,1,5,2.0,40000.0,0
38.0,2,1,9.0,110000.0,1
45.0,3,3,15.0,150000.0,0
28.0,1,4,2.0,40000.0,1
35.0,1,4,8.0,85000.0,0
44.0,1,96,14.0,130000.0,1
34.0,2,2,6.0,100000.0,0
35.0,1,3,9.0,95000.0,1
50.0,3,9,22.0,180000.0,0
29.0,1,2,1.5,35000.0,1
40.0,1,2,12.0,100000.0,0
48.0,2,27,19.0,170000.0,1
31.0,1,1,3.0,45000.0,0
33.0,1,1,7.0,100000.0,1
42.0,2,15,13.0,140000.0,0
28.0,1,6,2.0,40000.0,1
40.0,1,8,11.0,105000.0,0
46.0,3,14,18.0,160000.0,1
33.0,1,3,5.0,70000.0,0
37.0,2,1,9.0,120000.0,1
51.0,2,2,21.0,190000.0,0
30.0,1,4,3.0,45000.0,1
43.0,1,7,15.0,120000.0,1
27.0,2,1,1.5,50000.0,0
35.0,1,2,8.0,85000.0,1
42.0,3,8,13.0,140000.0,0
32.0,1,16,3.0,45000.0,1
37.0,1,6,9.0,100000.0,0
45.0,2,3,16.0,140000.0,1
33.0,1,4,5.0,70000.0,0
39.0,1,3,10.0,120000.0,1
44.0,3,3,18.0,160000.0,0
29.0,1,4,1.5,40000.0,1
38.0,1,5,10.0,120000.0,0
46.0,3,3,19.0,150000.0,1
34.0,1,3,6.0,70000.0,0
36.0,1,5,8.0,95000.0,1
49.0,2,27,21.0,180000.0,0
31.0,1,6,3.0,50000.0,1
41.0,1,3,11.0,95000.0,0
47.0,2,9,20.0,170000.0,1
